pokemon_item,set,ungraded,grade_nine,grade_ten,date(D/M/Y)
Feebas [1st Edition] #12,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Togepi #16,pokemon-japanese-offense-and-defense-of-the-furthest-ends,0.99,37.70,N/A,06/07/2024
Togepi [1st Edition] #16,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,13.50,N/A,06/07/2024
Swablu [1st Edition] #18,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,9.00,N/A,06/07/2024
Dratini [1st Edition] #2,pokemon-japanese-offense-and-defense-of-the-furthest-ends,0.01,N/A,N/A,06/07/2024
Bagon #20,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Bagon [1st Edition] #20,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,8.00,N/A,06/07/2024
Shelgon [1st Edition] #21,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Croconaw [1st Edition] #25,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,13.50,N/A,06/07/2024
Mantine [1st Edition] #27,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Vulpix [1st Edition] #29,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,10.00,N/A,06/07/2024
Dragonair [1st Edition] #3,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,31.25,N/A,06/07/2024
Lickitung [1st Edition] #31,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Cyndaquil [1st Edition] #32,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Quilava [1st Edition] #33,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,205.50,06/07/2024
Trapinch [1st Edition] #35,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Vibrava [1st Edition] #36,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Shellder [1st Edition] #38,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Cloyster #39,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Cloyster [1st Edition] #39,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Horsea [1st Edition] #40,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Seadra #41,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Seadra [1st Edition] #41,pokemon-japanese-offense-and-defense-of-the-furthest-ends,0.64,N/A,N/A,06/07/2024
Chikorita [1st Edition] #43,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,13.50,N/A,06/07/2024
Bayleef [1st Edition] #44,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Seel [1st Edition] #47,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Dewgong #48,pokemon-japanese-offense-and-defense-of-the-furthest-ends,0.99,N/A,N/A,06/07/2024
Dewgong [1st Edition] #48,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,6.00,N/A,06/07/2024
Mareep [1st Edition] #49,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,34.00,06/07/2024
Wooper [1st Edition] #5,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Flaaffy [1st Edition] #50,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Nidoran [1st Edition] #53,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,34.00,06/07/2024
Nidorino [1st Edition] #54,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Natu #56,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Natu [1st Edition] #56,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Xatu #57,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Xatu [1st Edition] #57,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Nidoran [1st Edition] #58,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Nidorina [1st Edition] #59,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Quagsire #6,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Quagsire [1st Edition] #6,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Ledyba [1st Edition] #61,pokemon-japanese-offense-and-defense-of-the-furthest-ends,0.65,10.50,N/A,06/07/2024
Ledian [1st Edition] #62,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Tropius #63,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,14.50,N/A,06/07/2024
Tropius [1st Edition] #63,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Old Rod #64,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Old Rod [1st Edition] #64,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Island Hermit [1st Edition] #65,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Strength Charm [1st Edition] #66,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Holon Legacy #67,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Holon Legacy [1st Edition] #67,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Scramble Energy [1st Edition] #68,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Ekans [1st Edition] #7,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Arbok [1st Edition] #8,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,N/A,N/A,06/07/2024
Heracross [1st Edition] #9,pokemon-japanese-offense-and-defense-of-the-furthest-ends,N/A,23.93,N/A,06/07/2024
Lugia V #110,pokemon-japanese-paradigm-trigger,210.13,325.00,390.00,06/07/2024
Skuntank V #106,pokemon-japanese-paradigm-trigger,10.82,26.02,32.87,06/07/2024
Duraludon VMAX #TG30,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Candice #113,pokemon-japanese-paradigm-trigger,32.86,68.00,82.00,06/07/2024
Gardevoir #TG05,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Lugia VSTAR #123,pokemon-japanese-paradigm-trigger,15.79,37.00,51.49,06/07/2024
Smeargle #73,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Milotic #TG02,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Duraludon VMAX #TG21,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Lugia V #79,pokemon-japanese-paradigm-trigger,4.63,14.39,33.00,06/07/2024
Lugia VSTAR #80,pokemon-japanese-paradigm-trigger,4.36,25.00,29.99,06/07/2024
Friends in Galar #TG23,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Altaria #TG11,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Braixen #TG01,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Sordward &amp; Shielbert #TG28,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Lugia VSTAR #118,pokemon-japanese-paradigm-trigger,20.42,35.00,54.64,06/07/2024
Hisuian Arcanine V #46,pokemon-japanese-paradigm-trigger,1.47,12.26,49.99,06/07/2024
Regidrago V #76,pokemon-japanese-paradigm-trigger,1.82,12.77,20.50,06/07/2024
Unown VSTAR #116,pokemon-japanese-paradigm-trigger,9.89,N/A,26.36,06/07/2024
Lance #114,pokemon-japanese-paradigm-trigger,6.95,28.00,34.00,06/07/2024
Gapejaw Bog #125,pokemon-japanese-paradigm-trigger,7.19,7.50,38.00,06/07/2024
Hisuian Arcanine V #104,pokemon-japanese-paradigm-trigger,6.74,N/A,34.27,06/07/2024
Zeraora V #TG16,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Unown V #35,pokemon-japanese-paradigm-trigger,1.53,12.34,12.46,06/07/2024
Rockruff #TG07,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Regieleki V #101,pokemon-japanese-paradigm-trigger,3.40,16.40,30.40,06/07/2024
Candice #121,pokemon-japanese-paradigm-trigger,16.51,14.99,27.40,06/07/2024
Regieleki V #33,pokemon-japanese-paradigm-trigger,1.94,13.50,16.50,06/07/2024
Flaaffy #TG03,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Malamar #TG06,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Druddigon #TG09,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Chesnaught V #9,pokemon-japanese-paradigm-trigger,1.38,12.09,16.00,06/07/2024
Forest Seal Stone #92,pokemon-japanese-paradigm-trigger,3.05,14.64,42.82,06/07/2024
Passimian #TG08,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Corviknight VMAX #TG19,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Omastar V #18,pokemon-japanese-paradigm-trigger,1.61,12.74,37.54,06/07/2024
Aggron #67,pokemon-japanese-paradigm-trigger,1.37,12.09,35.78,06/07/2024
Serperior V #TG13,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Unown V #102,pokemon-japanese-paradigm-trigger,7.15,13.50,17.50,06/07/2024
Jynx #TG04,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Blaziken V #TG14,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Corviknight V #TG18,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Regidrago V #107,pokemon-japanese-paradigm-trigger,5.38,21.50,60.86,06/07/2024
Regidrago V #108,pokemon-japanese-paradigm-trigger,20.37,30.00,41.61,06/07/2024
Worker #119,pokemon-japanese-paradigm-trigger,8.18,N/A,28.00,06/07/2024
Unown V #103,pokemon-japanese-paradigm-trigger,16.39,22.79,57.00,06/07/2024
Pikachu #24,pokemon-japanese-paradigm-trigger,1.95,13.68,21.76,06/07/2024
Brandon #112,pokemon-japanese-paradigm-trigger,4.12,N/A,16.60,06/07/2024
Booster Box,pokemon-japanese-paradigm-trigger,57.84,N/A,N/A,06/07/2024
Rayquaza VMAX #TG20,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Dragonite #72,pokemon-japanese-paradigm-trigger,2.00,11.08,29.99,06/07/2024
Kricketune V #TG12,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Regidrago VSTAR #117,pokemon-japanese-paradigm-trigger,8.68,N/A,N/A,06/07/2024
Regieleki VMAX #115,pokemon-japanese-paradigm-trigger,6.37,N/A,9.99,06/07/2024
Unown VSTAR #36,pokemon-japanese-paradigm-trigger,1.99,8.50,20.11,06/07/2024
Rayquaza VMAX #TG29,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Skuntank V #56,pokemon-japanese-paradigm-trigger,1.47,12.74,20.50,06/07/2024
Mawile V #TG17,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Omastar V #100,pokemon-japanese-paradigm-trigger,4.04,8.50,27.48,06/07/2024
Professor Burnet #TG26,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Worker #111,pokemon-japanese-paradigm-trigger,12.32,17.61,35.03,06/07/2024
Regieleki VMAX #34,pokemon-japanese-paradigm-trigger,1.96,12.89,30.00,06/07/2024
Chesnaught V #99,pokemon-japanese-paradigm-trigger,3.29,19.99,21.88,06/07/2024
Skuntank V #105,pokemon-japanese-paradigm-trigger,5.53,N/A,N/A,06/07/2024
Terrakion #51,pokemon-japanese-paradigm-trigger,1.43,12.17,35.99,06/07/2024
Rapidash #11,pokemon-japanese-paradigm-trigger,1.87,12.86,32.99,06/07/2024
Lugia V #109,pokemon-japanese-paradigm-trigger,9.06,30.92,37.00,06/07/2024
Earthen Seal Stone #91,pokemon-japanese-paradigm-trigger,3.57,N/A,N/A,06/07/2024
Regidrago VSTAR #77,pokemon-japanese-paradigm-trigger,1.99,13.04,20.00,06/07/2024
Raihan #TG27,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Medicham #38,pokemon-japanese-paradigm-trigger,0.67,11.01,32.78,06/07/2024
Judge #TG25,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Lance #122,pokemon-japanese-paradigm-trigger,6.96,N/A,26.26,06/07/2024
Booster Pack,pokemon-japanese-paradigm-trigger,12.75,N/A,N/A,06/07/2024
Brandon #120,pokemon-japanese-paradigm-trigger,4.99,8.50,27.61,06/07/2024
Reuniclus #42,pokemon-japanese-paradigm-trigger,0.89,N/A,N/A,06/07/2024
Gordie #TG24,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Litten #15,pokemon-japanese-paradigm-trigger,1.99,N/A,N/A,06/07/2024
Raichu #25,pokemon-japanese-paradigm-trigger,1.81,12.78,37.67,06/07/2024
Luxray #28,pokemon-japanese-paradigm-trigger,1.18,N/A,N/A,06/07/2024
Zeraora #32,pokemon-japanese-paradigm-trigger,1.94,N/A,N/A,06/07/2024
Incineroar #17,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Keldeo #23,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Bellossom #3,pokemon-japanese-paradigm-trigger,1.19,N/A,N/A,06/07/2024
Archeops #83,pokemon-japanese-paradigm-trigger,1.47,12.26,15.00,06/07/2024
Torracat #16,pokemon-japanese-paradigm-trigger,1.06,11.62,34.47,06/07/2024
Leafy Poncho #124,pokemon-japanese-paradigm-trigger,6.01,N/A,27.51,06/07/2024
Galarian Meowth #63,pokemon-japanese-paradigm-trigger,1.33,N/A,N/A,06/07/2024
Victini #12,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Stunfisk #29,pokemon-japanese-paradigm-trigger,1.49,N/A,N/A,06/07/2024
Dragalge #61,pokemon-japanese-paradigm-trigger,1.13,11.73,34.77,06/07/2024
Beheeyem #44,pokemon-japanese-paradigm-trigger,0.21,N/A,N/A,06/07/2024
Dedenne #45,pokemon-japanese-paradigm-trigger,1.30,N/A,N/A,06/07/2024
Candice #95,pokemon-japanese-paradigm-trigger,2.33,N/A,N/A,06/07/2024
Oddish #1,pokemon-japanese-paradigm-trigger,0.99,11.51,34.18,06/07/2024
Ponyta #10,pokemon-japanese-paradigm-trigger,1.28,11.96,35.40,06/07/2024
Volcarona #14,pokemon-japanese-paradigm-trigger,1.21,N/A,N/A,06/07/2024
Gloom #2,pokemon-japanese-paradigm-trigger,1.99,N/A,N/A,06/07/2024
Froslass #21,pokemon-japanese-paradigm-trigger,1.25,N/A,N/A,06/07/2024
Relicanth #22,pokemon-japanese-paradigm-trigger,0.56,N/A,N/A,06/07/2024
Tangela #4,pokemon-japanese-paradigm-trigger,0.99,11.56,34.30,06/07/2024
Solosis #40,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Armaldo #50,pokemon-japanese-paradigm-trigger,1.24,N/A,N/A,06/07/2024
Rockruff #53,pokemon-japanese-paradigm-trigger,1.99,N/A,N/A,06/07/2024
Lycanroc #54,pokemon-japanese-paradigm-trigger,1.46,N/A,N/A,06/07/2024
Purrloin #57,pokemon-japanese-paradigm-trigger,1.07,N/A,N/A,06/07/2024
Liepard #58,pokemon-japanese-paradigm-trigger,1.00,N/A,N/A,06/07/2024
Pangoro #59,pokemon-japanese-paradigm-trigger,1.49,N/A,N/A,06/07/2024
Skrelp #60,pokemon-japanese-paradigm-trigger,1.03,N/A,N/A,06/07/2024
Morpeko #62,pokemon-japanese-paradigm-trigger,0.53,N/A,N/A,06/07/2024
Galarian Perrserker #64,pokemon-japanese-paradigm-trigger,1.99,N/A,N/A,06/07/2024
Aron #65,pokemon-japanese-paradigm-trigger,1.22,N/A,N/A,06/07/2024
Cobalion #68,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Ariados #7,pokemon-japanese-paradigm-trigger,1.84,12.74,37.55,06/07/2024
Dratini #70,pokemon-japanese-paradigm-trigger,0.79,N/A,N/A,06/07/2024
Dragonair #71,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Noivern #74,pokemon-japanese-paradigm-trigger,1.15,N/A,79.51,06/07/2024
Tauros #78,pokemon-japanese-paradigm-trigger,1.30,N/A,N/A,06/07/2024
Shaymin #81,pokemon-japanese-paradigm-trigger,1.99,N/A,N/A,06/07/2024
Archen #82,pokemon-japanese-paradigm-trigger,1.14,N/A,N/A,06/07/2024
Rufflet #84,pokemon-japanese-paradigm-trigger,1.49,N/A,N/A,06/07/2024
Hisuian Braviary #85,pokemon-japanese-paradigm-trigger,1.49,N/A,N/A,06/07/2024
Yungoos #86,pokemon-japanese-paradigm-trigger,1.13,N/A,N/A,06/07/2024
Worker #93,pokemon-japanese-paradigm-trigger,1.63,N/A,N/A,06/07/2024
Larvesta #13,pokemon-japanese-paradigm-trigger,0.61,N/A,N/A,06/07/2024
Snorunt #19,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Glalie #20,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Shinx #26,pokemon-japanese-paradigm-trigger,0.69,N/A,N/A,06/07/2024
Luxio #27,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Helioptile #30,pokemon-japanese-paradigm-trigger,0.23,N/A,N/A,06/07/2024
Heliolisk #31,pokemon-japanese-paradigm-trigger,0.11,N/A,N/A,06/07/2024
Meditite #37,pokemon-japanese-paradigm-trigger,0.01,N/A,N/A,06/07/2024
Sigilyph #39,pokemon-japanese-paradigm-trigger,0.53,10.81,32.24,06/07/2024
Duosion #41,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Elgyem #43,pokemon-japanese-paradigm-trigger,0.11,N/A,N/A,06/07/2024
Baltoy #47,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Claydol #48,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Anorith #49,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Tangrowth #5,pokemon-japanese-paradigm-trigger,0.51,N/A,N/A,06/07/2024
Pancham #52,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Stonjourner #55,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Spinarak #6,pokemon-japanese-paradigm-trigger,0.09,N/A,N/A,06/07/2024
Lairon #66,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Togedemaru #69,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Noibat #73,pokemon-japanese-paradigm-trigger,0.05,N/A,N/A,06/07/2024
Zygarde #75,pokemon-japanese-paradigm-trigger,0.21,N/A,N/A,06/07/2024
Virizion #8,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Gumshoos #87,pokemon-japanese-paradigm-trigger,0.20,N/A,N/A,06/07/2024
Oranguru #88,pokemon-japanese-paradigm-trigger,0.06,N/A,N/A,06/07/2024
Quad Stone #89,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Unidentified Fossil #90,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Brandon #94,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Lance #96,pokemon-japanese-paradigm-trigger,0.99,N/A,N/A,06/07/2024
Lost Altar #97,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
Regain Energy #98,pokemon-japanese-paradigm-trigger,0.50,N/A,N/A,06/07/2024
BlisseyV #TG22,pokemon-japanese-paradigm-trigger,N/A,N/A,N/A,06/07/2024
Charizard #5,pokemon-japanese-pokekyun-collection,27.88,38.24,88.37,06/07/2024
Flareon EX #7,pokemon-japanese-pokekyun-collection,133.62,348.46,514.70,06/07/2024
Sylveon EX #25,pokemon-japanese-pokekyun-collection,86.49,194.63,235.00,06/07/2024
Pikachu #10,pokemon-japanese-pokekyun-collection,185.00,285.00,800.00,06/07/2024
Sylveon EX #26,pokemon-japanese-pokekyun-collection,127.51,374.88,663.97,06/07/2024
M Gardevoir EX #20,pokemon-japanese-pokekyun-collection,74.05,N/A,289.19,06/07/2024
Charmeleon #4,pokemon-japanese-pokekyun-collection,13.39,32.75,51.00,06/07/2024
Gardevoir EX #19,pokemon-japanese-pokekyun-collection,57.85,102.50,259.74,06/07/2024
Yveltal #18,pokemon-japanese-pokekyun-collection,11.99,20.00,43.83,06/07/2024
Dedenne #12,pokemon-japanese-pokekyun-collection,18.44,27.01,63.40,06/07/2024
Jirachi #15,pokemon-japanese-pokekyun-collection,12.50,46.25,54.54,06/07/2024
Flareon EX #6,pokemon-japanese-pokekyun-collection,51.40,76.00,235.75,06/07/2024
Charmander #3,pokemon-japanese-pokekyun-collection,12.47,28.00,53.27,06/07/2024
Raichu #11,pokemon-japanese-pokekyun-collection,9.23,21.70,49.41,06/07/2024
Chikorita #1,pokemon-japanese-pokekyun-collection,9.99,17.67,49.99,06/07/2024
Altaria #29,pokemon-japanese-pokekyun-collection,13.09,20.00,55.83,06/07/2024
Swirlix #23,pokemon-japanese-pokekyun-collection,9.13,21.69,43.67,06/07/2024
Meowstic #17,pokemon-japanese-pokekyun-collection,9.47,20.45,27.72,06/07/2024
Diancie #27,pokemon-japanese-pokekyun-collection,5.09,14.00,30.00,06/07/2024
Booster Box,pokemon-japanese-pokekyun-collection,083.74,N/A,N/A,06/07/2024
Wobbuffet #13,pokemon-japanese-pokekyun-collection,6.27,24.99,57.55,06/07/2024
Gulpin #14,pokemon-japanese-pokekyun-collection,7.37,24.21,51.00,06/07/2024
Espurr #16,pokemon-japanese-pokekyun-collection,8.99,20.00,49.00,06/07/2024
Shroomish #2,pokemon-japanese-pokekyun-collection,4.99,21.10,52.49,06/07/2024
Floette #22,pokemon-japanese-pokekyun-collection,6.99,9.99,37.11,06/07/2024
Slurpuff #24,pokemon-japanese-pokekyun-collection,7.19,16.28,32.53,06/07/2024
Fletchling #30,pokemon-japanese-pokekyun-collection,7.49,6.50,49.57,06/07/2024
Crown of Flowers #31,pokemon-japanese-pokekyun-collection,8.99,N/A,39.27,06/07/2024
Wally #32,pokemon-japanese-pokekyun-collection,7.82,9.59,50.21,06/07/2024
Snorunt #8,pokemon-japanese-pokekyun-collection,4.44,23.32,56.00,06/07/2024
Froslass #9,pokemon-japanese-pokekyun-collection,8.82,24.99,44.87,06/07/2024
Flabebe #21,pokemon-japanese-pokekyun-collection,6.92,30.76,42.30,06/07/2024
Swablu #28,pokemon-japanese-pokekyun-collection,4.99,12.75,42.50,06/07/2024
Skyla #76,pokemon-japanese-plasma-gale,126.92,850.00,531.90,06/07/2024
Articuno EX #16,pokemon-japanese-plasma-gale,5.12,25.00,51.99,06/07/2024
Charizard #77,pokemon-japanese-plasma-gale,140.53,977.53,051.11,06/07/2024
Blastoise #78,pokemon-japanese-plasma-gale,83.71,200.00,975.16,06/07/2024
Giratina #35,pokemon-japanese-plasma-gale,5.05,34.36,88.89,06/07/2024
Lugia EX #74,pokemon-japanese-plasma-gale,39.40,301.00,873.11,06/07/2024
Lugia EX #59,pokemon-japanese-plasma-gale,5.09,35.00,110.02,06/07/2024
Victini EX #12,pokemon-japanese-plasma-gale,3.00,14.72,24.24,06/07/2024
Snorlax #55,pokemon-japanese-plasma-gale,8.50,30.00,390.00,06/07/2024
Manaphy #20,pokemon-japanese-plasma-gale,1.93,10.50,69.23,06/07/2024
Articuno EX #72,pokemon-japanese-plasma-gale,21.75,94.00,295.00,06/07/2024
Cobalion EX #49,pokemon-japanese-plasma-gale,3.44,N/A,N/A,06/07/2024
Infernape #11,pokemon-japanese-plasma-gale,9.24,19.45,95.00,06/07/2024
Booster Box,pokemon-japanese-plasma-gale,652.28,N/A,N/A,06/07/2024
Hypnotoxic Laser #63,pokemon-japanese-plasma-gale,1.09,N/A,N/A,06/07/2024
Scramble Switch #68,pokemon-japanese-plasma-gale,5.56,11.59,N/A,06/07/2024
Dowsing Machine #69,pokemon-japanese-plasma-gale,7.84,N/A,N/A,06/07/2024
Victini EX #71,pokemon-japanese-plasma-gale,19.95,112.50,217.99,06/07/2024
Cobalion EX #73,pokemon-japanese-plasma-gale,14.48,77.50,142.86,06/07/2024
Colress #75,pokemon-japanese-plasma-gale,46.50,114.98,278.60,06/07/2024
Chimchar #9,pokemon-japanese-plasma-gale,4.30,16.50,127.00,06/07/2024
Turtwig #1,pokemon-japanese-plasma-gale,4.30,N/A,N/A,06/07/2024
Rotom #26,pokemon-japanese-plasma-gale,4.30,N/A,N/A,06/07/2024
Clefairy #51,pokemon-japanese-plasma-gale,4.30,N/A,N/A,06/07/2024
Dodrio #54,pokemon-japanese-plasma-gale,2.55,N/A,N/A,06/07/2024
Togekiss #58,pokemon-japanese-plasma-gale,2.34,45.38,54.00,06/07/2024
Monferno #10,pokemon-japanese-plasma-gale,3.23,N/A,N/A,06/07/2024
Ludicolo #19,pokemon-japanese-plasma-gale,3.74,N/A,N/A,06/07/2024
Grotle #2,pokemon-japanese-plasma-gale,3.23,N/A,N/A,06/07/2024
Crobat #29,pokemon-japanese-plasma-gale,3.58,33.00,41.75,06/07/2024
Kirlia #33,pokemon-japanese-plasma-gale,3.01,N/A,N/A,06/07/2024
Beheeyem #39,pokemon-japanese-plasma-gale,3.41,N/A,N/A,06/07/2024
Phanpy #40,pokemon-japanese-plasma-gale,3.23,N/A,N/A,06/07/2024
Donphan #41,pokemon-japanese-plasma-gale,3.44,N/A,N/A,06/07/2024
Riolu #42,pokemon-japanese-plasma-gale,3.01,N/A,50.00,06/07/2024
Lucario #43,pokemon-japanese-plasma-gale,2.69,13.50,44.99,06/07/2024
Colress #64,pokemon-japanese-plasma-gale,3.59,N/A,N/A,06/07/2024
Plasma Energy #67,pokemon-japanese-plasma-gale,3.81,N/A,N/A,06/07/2024
Pansear #13,pokemon-japanese-plasma-gale,2.02,N/A,N/A,06/07/2024
Simisear #14,pokemon-japanese-plasma-gale,2.47,N/A,N/A,06/07/2024
Heatmor #15,pokemon-japanese-plasma-gale,2.36,N/A,N/A,06/07/2024
Lotad #17,pokemon-japanese-plasma-gale,0.50,N/A,N/A,06/07/2024
Lombre #18,pokemon-japanese-plasma-gale,2.36,N/A,N/A,06/07/2024
Cubchoo #21,pokemon-japanese-plasma-gale,2.24,N/A,N/A,06/07/2024
Magnezone #25,pokemon-japanese-plasma-gale,2.29,N/A,22.08,06/07/2024
Zubat #27,pokemon-japanese-plasma-gale,0.50,N/A,N/A,06/07/2024
